employee_id,name,age,department,salary,experience_years
1,Ugo Petit,36.0, IT,6364.39,10
2,Claire Girard,21.0,r&d,,3
3,Wassim Lefebvre,45.0,support,,13
4,Wassim Bertrand,36.0,Operations,6504.21,14
5,Liam Garcia,21.0, Sales,3631.12,3
6,Jamal Lefebvre,55.0,Operations,6326.51,16
7,Hugo Petit,36.0,R&D  ,5324.09,4
8,Ines Mercier,57.0,HR,4841.89,13
9,Ugo Morel,62.0,MARKETING,6458.18,15
10,Maya Laurent,32.0,Hr,4778.46,12
11,Maya Lefebvre,28.0, Legal,6544.79,7
12,Noah Girard,42.0,R&D,8340.55,13
13,David Robert,62.0, Finance,8031.07,16
14,Ines Morel,62.0,IT  ,7073.72,16
15,Katia Petit,46.0, Sales,6020.27,13
16,Yara Richard,25.0,support,3656.43,7
17,Liam Richard,52.0,SUPPORT,4961.28,18
18,Ziad Simon,22.0,Marketing,4627.71,4
19,Yara Morel,27.0, Finance,4376.96,3
20,Noah Dubois,63.0,Support,5407.19,18
21,Qi Roux,34.0,hr,4969.09,10
22,Alice Bernard,33.0,IT,6231.15,10
23,Val Vincent,53.0,Marketing,7158.99,19
24,Ziad Bertrand,25.0,Marketing  ,4902.27,7
25,Bob Mercier,22.0,hr,4016.88,4
26,Rita Roux,46.0, Finance,7825.58,14
27,David Durand,19.0,Support,2987.36,1
28,Pablo Dubois,22.0,R&d,5176.94,4
29,Jamal Bertrand,61.0, Support,4869.43,17
30,Xia Morel,39.0,it,7219.7,14
31,Bob Fournier,30.0, HR,4606.98,9
32,Hugo Girard,58.0,IT,8616.31,20
33,Giulia Mercier,34.0,Operations,5188.14,9
34,Alice Roux,23.0,HR,3636.55,3
35,Hugo Garcia,29.0,Sales  ,4342.22,4
36,Qi Martin,38.0,Support,4381.67,12
37,Xia Morel,36.0,FINANCE,6572.24,9
38,Qi Vincent,22.0,sales,,4
39,Ugo Laurent,,Finance  ,6498.88,10
40,Emma Morel,42.0,IT,6115.84,10
41,Liam Dubois,61.0, Marketing,7274.28,21
42,Xia Robert,29.0,Marketing  ,,11
43,Katia Bertrand,36.0,Marketing,5912.49,12
44,Hugo Dubois,41.0,legal,,9
45,Maya Michel,23.0, Sales,4349.87,5
46,Katia Martin,35.0,Hr,5812.73,13
47,Liam Michel,57.0,R&D,8265.29,17
48,Wassim Bertrand,52.0,IT  ,7791.84,18
49,Giulia Garcia,23.0,R&D,5186.7,5
50,Xia Simon,38.0,support,3848.95,9
51,Noah Mercier,62.0,R&D,8094.5,17
52,Jamal Simon,46.0,Marketing  ,5440.48,14
53,Giulia Fournier,29.0,Legal,5854.0,6
54,Yara Moreau,33.0, Sales,5241.19,10
55,Yara Bernard,45.0,Legal,8142.34,15
56,Hugo Robert,25.0,It,5332.51,7
57,Bob Morel,26.0, Marketing,4065.73,2
58,Katia Roux,46.0,Support,4349.41,14
59,Omar Laurent,59.0,Marketing,6512.6,15
60,Claire Simon,36.0,Marketing,5264.24,7
61,Wassim Robert,23.0,Marketing,4377.09,4
62,Maya Girard,55.0,It,7322.28,15
63,Rita Morel,,Marketing  ,6155.08,14
64,Ziad David,48.0, Finance,8721.72,21
65,Sara Mercier,24.0,It,4973.4,5
66,Katia Dubois,39.0,Legal,6846.37,7
